id,views,comments
PBbK9um5RJ0,0,3236
BbeBju40t6s,3,24202
oDqU0ebWMew,10,6409
3QTfY_tOBiw,158,163983
ApDI1UTLcx4,34,35915
9HCmA08SiCA,0,9071
DLqKjj9IjLk,1,15697
-2VA8sLCYMI,1,3965
l8yHMX6tRxM,164,215190
wqd7uZnVeU8,11,33137
hNPF7BiQ1D0,13,61575
ft7upJW1GIs,2,3394
bGe4Rf-d0R4,0,1846
701aNZbN22o,2,1381
v18YyOhKWCs,1,4986
XsEV7BYKfic,65,243382
Sp6RcB_E46c,2,1249
Gp_rAh5YahY,0,4125
dtNZrC-U9us,1,1835
TmUFzjfZlKo,1,4977
PqH1rAPyiU4,0,3184
t2ARuOeEFig,36,5533
Q68FZSxlpIw,4,10985
crZs7DP7Jl4,29,202705
9Wv9EYrRkoY,0,8385
drR-Apvm0aA,0,4463
6mz2C0a1FPg,3,3847
8evbmceZBmM,13,22899
UkKltAeGKcg,0,1498
1JQIBuj4woA,0,2307
mqcctXWx818,108,498743
3X0oPzeMUgQ,0,2706
6F1Aa6k_Cz4,0,2351
2aa1nyKh0kw,0,1076
TSIDYxEf_vI,1,2569
xQC_zJdxeow,5,2317
sv1FnlCfdLE,3,1879
Gi0Isor6uac,0,2228
C7Q47CNkU2Q,0,8942
ikqxe1bGypM,0,1403
HfzZe281o9E,0,4891
dSov-9Vl6Cw,3,22043
2KmS4JKFBy4,2,8241
WCkJviD8xYA,1,11572
He_W-AcvH2A,1,1124
VswbZXWhV2w,1,1168
BDXfZ6nyfAE,0,2412
SaDQNFZ9yhM,37,5564
vcH32KVSl7g,0,5344
F9X6rcdjEdI,1,18211
78xmRnp-F9c,4,7496
o1NrVQWnxnM,4,2409
Fk2_81LmVu4,31,41373
BmVkHhvQj24,3,1618
1F39NxW0kIA,1,1776
1Lep2D0hkKE,5,23761
rxDdJLPSvTM,0,14536
4BGWLM_wbHI,18,24030
pmNDP0F4_S8,0,1748
8rklRK5Wxm0,6,74875
uTNIatgPt9o,0,1872
NHF4y78Xi1Q,1,1828
PykybOxKT28,0,3544
fRmVgX3AtDs,8,3353
ctD8FiT39mk,81,2314
0d1fponBOlc,1,2589
tnosvZeWiuQ,0,1915
tameL5e7a68,29,144758
ymFQH3Kmxr8,1,1248
8HkQnxEdb2w,1,6753
aFpMb671cPU,0,2345
oh8upjjEwcc,7,15864
ceSpp39vGJE,0,6283
l0R6A5KGf7E,3,6552
hac85nvd-c4,8,14044
GUwtd1Xc_LY,1,1416
u6d89U_GF80,0,1936
7LeowYQca50,41,238110
GvS-SvuD6po,12,92106
Dv1_yx59ihI,13,12817
pHj4VFFElTw,6,1337
JzTTyw7fTFU,13,47508
g8Hi4qODZf4,2,3150
jlWh9N75hDg,0,2450
VuVfNdPphNw,2,3115
bFS67HMmdWw,1,2203
Tg7nkMZ4aoA,0,2644
G-l4NEoBYqk,0,3986
Ro_ywuFUOpo,35,52191
bXZfAQGrSmE,0,6904
_hnhud2c_Dw,0,1689
TGFmgcMaZt4,0,1126
70h1L4IIjW0,3,7331
clZ0aI_iPuc,1,6686
qm9EbmXHHJQ,1,6631
tUbCRlmLJC0,1,2932
6qD-Hx0NY7Q,0,1344
bXA2Emcnotc,34,1354071
ZSUh37i6yAk,1,8221
qDDtP5U9n9s,7,8930
tx1mb_mB1v4,8,4525
Z8iC4eE1w0A,2,2771
5CcO-4iwc8M,19,20396
ncJreKuUXg0,0,1227
ABsHQvBnawk,6,6971
UZtPoQznTJc,4,21992
Lp-kc0eatjw,226,961917
KKHp_PkHSmo,0,3053
c46_qx1vbNQ,1,3489
NqBwVmw6Hx0,1,1811
oJr2QPigc0I,17,15450
PH_-MnO10n0,9,5830
OiYxx1Jp5gs,0,1351
4c3MIN2D_MQ,3,4659
xj4j58gwOsQ,19,19498
Y0aqFpuP0Jw,2,14391
5PKZQSAvfZU,10,5077
FjgLRumvYUk,2,17578
60PxktkOrgI,18,15263
6z4vHYVC634,7,4439
sPJ2hnzh0RE,13,3151
WN8pevEs5B0,0,2607
4ZDJ_pht_o8,0,8689
F4mwxe3Ve0g,0,6581
yuddK_ffRbs,1,1404
6KOiJ9IdQmY,0,2448
Rt4WEsykLXg,0,2375
5eiNJUvghJ4,2,3531
wrUE-sMYPyI,7,31545
jTVTTpLmMGY,0,1324
ebJKkwbWEAY,2,4754
vIMV3KkAGls,0,1628
XdfvUr3wzKM,2,1495
HPPVDxemjgU,23,82093
uoROhxecyC0,0,61949
oTks2UxEais,0,1906
yPJWhgXlfuc,2,1455
M4hk0cY-fS4,7,33578
Za76JCCo2ko,0,5082
ec202KLpYvo,96,614269
